date,event_count,goldstein_weighted_sum,avg_goldstein,avg_tone,article_count,corridor
2024-03-06,133,-1291.6000000000001,-9.711278195488719,-4.040322682784604,2143,red_sea
2024-03-07,181,-1778.7,-9.82707182320442,-4.0992278562986755,1902,red_sea
2024-03-08,78,-765.9,-9.81923076923077,-1.7911948773375552,1164,red_sea
2024-03-09,134,-1310.0,-9.776119402985076,-3.5533275837197555,1125,red_sea
2024-03-10,85,-837.7,-9.855294117647063,-2.4059142179573554,597,red_sea
2024-03-11,54,-507.0,-9.38888888888889,-2.0200222606178566,927,red_sea
2024-03-12,119,-1155.0,-9.705882352941176,-3.224984098400274,1303,red_sea
2024-03-13,88,-836.0,-9.500000000000004,-2.1194691838684867,956,red_sea
2024-03-14,98,-967.2,-9.869387755102046,-2.714212069058002,1480,red_sea
2024-03-15,72,-690.0999999999999,-9.58472222222222,-3.3387116113785633,1587,red_sea
2024-03-16,79,-753.3,-9.535443037974682,-3.2961513492758394,826,red_sea
2024-03-17,85,-816.3,-9.603529411764704,-3.56374739852534,955,red_sea
2024-03-18,46,-438.2,-9.526086956521741,-1.4028595565554853,755,red_sea
2024-03-19,41,-402.5,-9.817073170731708,-2.019007353303791,938,red_sea
2024-03-20,45,-430.5,-9.566666666666666,-2.4116252862470167,1089,red_sea
2024-03-21,38,-361.0,-9.5,-1.3105942562505006,1223,red_sea
2024-03-22,36,-348.4,-9.677777777777777,-2.0347490621718167,877,red_sea
2024-03-23,55,-524.9,-9.543636363636365,-2.964871185320235,699,red_sea
2024-03-24,86,-815.9,-9.487209302325581,-2.2162672745465044,567,red_sea
2024-03-25,58,-546.4,-9.420689655172415,-1.8376159905577643,631,red_sea
2024-03-26,42,-401.0,-9.54761904761905,-2.0385170265218653,903,red_sea
2024-03-27,44,-419.6,-9.536363636363637,-2.416409890696767,1109,red_sea
2024-03-28,48,-463.0,-9.645833333333334,-1.8214606532840494,877,red_sea
2024-03-29,34,-318.6,-9.370588235294118,-1.8642130496300808,668,red_sea
2024-03-30,13,-126.5,-9.730769230769232,-1.7447359978358457,368,red_sea
2024-03-31,18,-171.5,-9.527777777777779,-1.6512609899906558,339,red_sea
2024-04-01,45,-440.0,-9.777777777777779,-2.9455916095993167,828,red_sea
2024-04-02,36,-355.7,-9.880555555555555,-2.5141505363226573,1247,red_sea
2024-04-03,39,-372.2,-9.543589743589743,-2.337830998733048,1025,red_sea
2024-04-04,37,-340.4,-9.200000000000001,-2.77100632591453,920,red_sea
2024-04-05,37,-347.09999999999997,-9.381081081081083,-2.6132265243800474,638,red_sea
2024-04-06,15,-148.0,-9.866666666666667,-3.915036667808304,566,red_sea
2024-04-07,44,-433.0,-9.840909090909092,-4.086825636493911,594,red_sea
2024-04-08,45,-443.0,-9.844444444444443,-2.715269421749055,707,red_sea
2024-04-09,23,-220.7,-9.595652173913043,-2.310995959296427,743,red_sea
2024-04-10,45,-440.4,-9.786666666666667,-2.4357762408079418,722,red_sea
2024-04-11,25,-241.0,-9.639999999999999,-1.8850756441688354,639,red_sea
2024-04-12,33,-330.0,-10.0,-2.8309021414180418,615,red_sea
2024-04-13,53,-524.7,-9.9,-3.7739988952317316,833,red_sea
2024-04-14,57,-554.0,-9.719298245614036,-4.804160632827893,1336,red_sea
2024-04-15,50,-460.0,-9.200000000000001,-4.229620314491098,1332,red_sea
2024-04-16,46,-452.0,-9.82608695652174,-3.427491330143682,1123,red_sea
2024-04-17,40,-370.2,-9.255,-2.918331915055374,1182,red_sea
2024-04-18,32,-297.9,-9.309375,-2.4752207846431675,803,red_sea
2024-04-19,25,-244.0,-9.76,-4.0829812804937635,1178,red_sea
2024-04-20,15,-142.2,-9.48,-4.229195466218935,769,red_sea
2024-04-21,10,-100.0,-10.0,-2.00781049404739,398,red_sea
2024-04-22,20,-192.5,-9.625000000000002,-1.8108684719952106,465,red_sea
2024-04-23,16,-152.2,-9.5125,-1.9163390621573775,462,red_sea
2024-04-24,27,-264.2,-9.785185185185187,-1.815871564578732,722,red_sea
2024-04-25,78,-738.7,-9.470512820512822,-2.8360118384549944,1018,red_sea
2024-04-26,44,-423.19999999999993,-9.618181818181819,-2.4144579523036716,566,red_sea
2024-04-27,95,-916.7,-9.64947368421053,-4.260582821179256,765,red_sea
2024-04-28,28,-264.5,-9.446428571428571,-2.150910657234476,372,red_sea
2024-04-29,68,-653.5,-9.61029411764706,-3.3499128532426843,805,red_sea
2024-04-30,83,-785.4000000000001,-9.462650602409637,-2.703436584320458,821,red_sea
2024-05-01,27,-262.7,-9.72962962962963,-2.2254779167864456,586,red_sea
2024-05-02,36,-342.4,-9.511111111111111,-2.428804234419571,569,red_sea
2024-05-03,42,-393.79999999999995,-9.376190476190477,-2.83169660318788,572,red_sea
2024-05-04,18,-162.8,-9.044444444444444,-1.9094335506149929,388,red_sea
2024-05-05,10,-100.0,-10.0,-2.3298246786658057,459,red_sea
2024-05-06,23,-209.0,-9.08695652173913,-2.021084029630366,505,red_sea
2024-05-07,41,-398.0,-9.707317073170733,-1.1823556030573277,629,red_sea
2024-05-08,13,-111.2,-8.553846153846155,-1.123154807098135,469,red_sea
2024-05-09,23,-223.0,-9.695652173913045,-2.3923098027088274,519,red_sea
2024-05-10,14,-136.5,-9.75,-1.5641777529303094,346,red_sea
2024-05-11,10,-90.0,-9.0,-1.4209663723478492,272,red_sea
2024-05-12,11,-104.9,-9.536363636363637,-1.4696026373044713,270,red_sea
2024-05-13,14,-124.4,-8.885714285714286,-0.8630825627174705,449,red_sea
2024-05-14,21,-210.0,-10.0,-1.3240752883842053,610,red_sea
2024-05-15,40,-386.4,-9.659999999999998,-1.9762700155207347,528,red_sea
2024-05-16,33,-320.9,-9.724242424242425,-0.8414641377709208,593,red_sea
2024-05-17,23,-216.60000000000002,-9.417391304347825,-1.793713377435246,403,red_sea
